2020-11-07 16:08:33|lorenaSta593|lorena.Sta593|Guayaquil, Ecuador||Place(_api=<tweepy.api.API object at 0x000001F61AE95E10>, id='009924a469d7ace1', url='https://api.twitter.com/1.1/geo/id/009924a469d7ace1.json', place_type='city', name='Guayaquil', full_name='Guayaquil, Ecuador', country_code='EC', country='Ecuador', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001F61AE95E10>, type='Polygon', coordinates=[[[-80.4676050033072, -3.06371600046572], [-79.7147810026682, -3.06371600046572], [-79.7147810026682, -1.96227400010509], [-80.4676050033072, -1.96227400010509]]]), attributes={})|0|1|La @alcaldiagye puso sellos de clausura en la tarima en donde se realizó el primer mitin político de Guillermo Lass… https://t.co/ZcSG4SQtaE
2020-11-07 16:08:23|daviru3|Aquí se habla mal de correa .|Portoviejo, Ecuador|||179|0|RT @lahistoriaec: Con discurso para las masas. Por primera vez, Guillermo Lasso y Jaime Nebot compartieron tarima en la parroquia Letamendi…
2020-11-07 16:08:01|Frank89122399|Frank||||89|0|RT @oro_negro26: Los amarres de #Guayaquil, al puro estilo #Nebot 🐀 https://t.co/8dvuYGnjRS
2020-11-07 16:07:13|SantiagoLpezFe2|Santiago López Fernández|Ecuador|||29|0|RT @Expresoec: #Guayaquil: En los últimos operativos ejecutados por la Dirección de Justicia y Vigilancia, se clausuraron a cinco locales,…
2020-11-07 16:06:41|Andres79189252|Andres|Guayas, Ecuador|||179|0|RT @lahistoriaec: Con discurso para las masas. Por primera vez, Guillermo Lasso y Jaime Nebot compartieron tarima en la parroquia Letamendi…
2020-11-07 16:03:02|nubedeIIuvia|Nube ⛈️|Quito, Ecuador|||58|0|RT @lahistoriaec: Estudiantes de la Universidad de las Artes hicieron plantón de protesta en la plaza San Francisco de #Guayaquil. Reclaman…
2020-11-07 16:00:40|PremolServicios|PREMOL SERVICIOS INDUSTRIALES||||0|0|#premolserviciosindustriales #construccion #equiposindustriales #EQUIPOSinoxidables #tanques #procesogoma… https://t.co/3AEc41hI9y
2020-11-07 16:00:37|Vidasanaecuador|📱♥GYM EN LINEA Vida Sana Ecuador🖥️|Guayaquil - Ecuador|||0|0|#GUAYAQUIL Sunny HOY! MAX 16 MIN 949 0 November 7, 2020 at 08:04PM #QUEDATENCASA SANO Y SALVO CON NOSOTROS - Ponte… https://t.co/mGEt1hbuOK
2020-11-07 16:00:29|eduardo62272600|Eduardo Guerrero|Guayaquil, Ecuador|||179|0|RT @lahistoriaec: Con discurso para las masas. Por primera vez, Guillermo Lasso y Jaime Nebot compartieron tarima en la parroquia Letamendi…
2020-11-07 15:57:00|rigailuk|Marco|London, UK|||98|0|RT @eluniversocom: Municipio de #Guayaquil abrió expediente en contra del Partido Social Cristiano por realización de evento masivo ► https…
2020-11-07 15:56:30|FrankYauri6|Rómulo Frank Yauri C.||||50|0|RT @lahistoriaec: Delincuencia sin freno. Así roban en la avenida Francisco de Orellana, al norte de #Guayaquil, mientras los conductores e…
